part_number, pdf, manufacturer, details_page
lc823455xatbg,https://www.onsemi.com/pub/Collateral/LC823455-D.PDF,on-semiconductor,https://www.digikey.com/product-detail/en/on-semiconductor/LC823455XATBG/488-LC823455XATBGTR-ND/11592800,
lc823455xatbg,https://www.onsemi.com/pub/Collateral/LC823455-D.PDF,on-semiconductor,https://www.digikey.com/product-detail/en/on-semiconductor/LC823455XATBG/488-LC823455XATBGCT-ND/11593203,
lc823455xatbg,https://www.onsemi.com/pub/Collateral/LC823455-D.PDF,on-semiconductor,https://www.digikey.com/product-detail/en/on-semiconductor/LC823455XATBG/488-LC823455XATBGDKR-ND/11593283,
ad2429kcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2429KCPZ/505-AD2429KCPZ-ND/11642806,
ad2427kcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2427KCPZ/505-AD2427KCPZ-ND/11642771,
ad2429wccpz01,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2429WCCPZ01/505-AD2429WCCPZ01-ND/11642777,
ad2428kcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2428KCPZ/505-AD2428KCPZ-ND/11642773,
ad2426kcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2426KCPZ/505-AD2426KCPZ-ND/11642778,
ad2426bcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2426BCPZ/505-AD2426BCPZ-ND/11642803,
ad2429bcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2429BCPZ/505-AD2429BCPZ-ND/11642809,
ad2427bcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2427BCPZ/505-AD2427BCPZ-ND/11642772,
ad2428bcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2428BCPZ/505-AD2428BCPZ-ND/11642780,
ad2420wccpz01-rl,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2420WCCPZ01-RL/505-AD2420WCCPZ01-RLTR-ND/11642796,
ad2420kcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2420KCPZ/505-AD2420KCPZ-ND/11642799,
ad2420bcpz,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2420BCPZ/505-AD2420BCPZ-ND/11642820,
ad2420wccpz01,https://www.analog.com/media/en/technical-documentation/data-sheets/AD2420(W)-AD2426(W)-AD2427(W)-AD2428(W)-AD2429(W).pdf,analog-devices-inc.,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2420WCCPZ01/505-AD2420WCCPZ01-ND/11642821,
